cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......6058 Fieschertal,356,188,168,329,171,158,27,17,10
......6061 Lax,339,176,163,283,139,144,56,37,19
......6076 Obergoms,663,338,325,584,293,291,79,45,34
......6077 Goms,1149,566,583,993,490,503,156,76,80
>> District d'Hérens,11681,5804,5877,10197,5007,5190,1484,797,687
......6082 Ayent,4450,2185,2265,3831,1863,1968,619,322,297
......6083 Evolène,1666,839,827,1481,738,743,185,101,84
......6084 Hérémence,1545,759,786,1404,689,715,141,70,71
......6087 Saint-Martin (VS),853,412,441,781,373,408,72,39,33
......6089 Vex,1980,1010,970,1672,834,838,308,176,132
......6090 Mont-Noble,1187,599,588,1028,510,518,159,89,70
>> Bezirk Leuk,13553,6891,6662,10969,5464,5505,2584,1427,1157
......6101 Agarn,745,401,344,649,334,315,96,67,29
......6102 Albinen,259,129,130,222,108,114,37,21,16
......6104 Ergisch,183,103,80,169,93,76,14,10,4
......6109 Inden,130,75,55,87,44,43,43,31,12
......6110 Leuk,4339,2187,2152,3518,1745,1773,821,442,379
......6111 Leukerbad,1426,736,690,844,424,420,582,312,270
......6112 Oberems,140,63,77,137,61,76,3,2,1
......6113 Salgesch,1732,858,874,1454,709,745,278,149,129
......6116 Varen,700,372,328,623,333,290,77,39,38
......6117 Guttet-Feschel,440,221,219,397,200,197,43,21,22
......6118 Gampel-Bratsch,2247,1139,1108,1860,927,933,387,212,175
......6119 Turtmann-Unterems,1212,607,605,1009,486,523,203,121,82
>> District de Martigny,53690,26679,27011,38590,18504,20086,15100,8175,6925
......6131 Bovernier,952,485,467,803,395,408,149,90,59
......6133 Fully,9304,4586,4718,7387,3529,3858,1917,1057,860
......6134 Isérables,804,408,396,748,379,369,56,29,27
......6135 Leytron,3528,1761,1767,2838,1374,1464,690,387,303
......6136 Martigny,22244,10825,11419,14968,7033,7935,7276,3792,3484
......6137 Martigny-Combe,2363,1203,1160,2051,1019,1032,312,184,128
......6139 Riddes,3748,1926,1822,2503,1217,1286,1245,709,536
......6140 Saillon,3152,1567,1585,2491,1209,1282,661,358,303
......6141 Saxon,7420,3828,3592,4647,2272,2375,2773,1556,1217
......6142 Trient,175,90,85,154,77,77,21,13,8
>> District de Monthey,51151,25586,25565,35978,17477,18501,15173,8109,7064
......6151 Champéry,1404,742,662,1055,548,507,349,194,155
......6152 Collombey-Muraz,10049,4979,5070,7266,3499,3767,2783,1480,1303
......6153 Monthey,19070,9430,9640,12315,5824,6491,6755,3606,3149
......6154 Port-Valais,4551,2279,2272,3115,1521,1594,1436,758,678
......6155 Saint-Gingolph,1087,541,546,658,317,341,429,224,205
......6156 Troistorrents,5022,2554,2468,4217,2124,2093,805,430,375
......6157 Val-d'Illiez,2144,1104,1040,1717,881,836,427,223,204
......6158 Vionnaz,3024,1552,1472,2414,1207,1207,610,345,265
......6159 Vouvry,4800,2405,2395,3221,1556,1665,1579,849,730
>> Bezirk Raron,11525,5854,5671,9943,4940,5003,1582,914,668
......6172 Bister,37,17,20,33,15,18,4,2,2
......6173 Bitsch,1142,573,569,1010,501,509,132,72,60
......6177 Grengiols,417,207,210,385,182,203,32,25,7
......6181 Riederalp,440,222,218,377,186,191,63,36,27
......6191 Ausserberg,640,339,301,559,286,273,81,53,28
......6192 Blatten,300,151,149,282,143,139,18,8,10
......6193 Bürchen,766,397,369,709,362,347,57,35,22
......6194 Eischoll,460,228,232,429,207,222,31,21,10
......6195 Ferden,248,132,116,235,126,109,13,6,7
......6197 Kippel,329,162,167,310,155,155,19,7,12
......6198 Niedergesteln,749,379,370,657,326,331,92,53,39
......6199 Raron,2024,1011,1013,1675,830,845,349,181,168
......6201 Unterbäch,478,243,235,421,208,213,57,35,22
......6202 Wiler (Lötschen),528,261,267,499,243,256,29,18,11
......6203 Mörel-Filet,759,387,372,598,291,307,161,96,65
......6204 Steg-Hohtenn,1725,881,844,1356,655,701,369,226,143
......6205 Bettmeralp,483,264,219,408,224,184,75,40,35
>> District de Saint-Maurice,14972,7471,7501,11574,5628,5946,3398,1843,1555
......6211 Collonges,869,432,437,705,332,373,164,100,64
......6212 Dorénaz,1113,574,539,910,456,454,203,118,85
......6213 Evionnaz,1500,754,746,1194,587,607,306,167,139
......6214 Finhaut,418,219,199,272,143,129,146,76,70
......6215 Massongex,2126,1034,1092,1643,781,862,483,253,230
......6217 Saint-Maurice,4622,2272,2350,3350,1596,1754,1272,676,596
......6218 Salvan,1495,744,751,1330,658,672,165,86,79
......6219 Vernayaz,1928,986,942,1356,662,694,572,324,248
......6220 Vérossaz,901,456,445,814,413,401,87,43,44
>> District de Sierre,51727,25807,25920,35618,17290,18328,16109,8517,7592
......6232 Chalais,3927,1961,1966,3097,1530,1567,830,431,399
......6235 Chippis,1615,823,792,844,399,445,771,424,347
......6238 Grône,2555,1276,1279,1913,954,959,642,322,320
......6239 Icogne,639,325,314,475,239,236,164,86,78
......6240 Lens,4568,2311,2257,3014,1491,1523,1554,820,734
......6246 Saint-Léonard,2626,1300,1326,2079,1020,1059,547,280,267
......6248 Sierre,17818,8696,9122,11365,5287,6078,6453,3409,3044
......6252 Anniviers,2790,1468,1322,2180,1136,1044,610,332,278
......6253 Crans-Montana,10497,5326,5171,6689,3281,3408,3808,2045,1763
......6254 Noble-Contrée,4692,2321,2371,3962,1953,2009,730,368,362
>> District de Sion,51456,25115,26341,37999,18168,19831,13457,6947,6510
......6261 Arbaz,1462,725,737,1270,619,651,192,106,86
......6263 Grimisuat,3962,1941,2021,3314,1610,1704,648,331,317
......6265 Savièse,8275,4068,4207,7095,3451,3644,1180,617,563
......6266 Sion,37144,18077,19067,25856,12264,13592,11288,5813,5475
......6267 Veysonnaz,613,304,309,464,224,240,149,80,69
>> Bezirk Visp,30197,15450,14747,21283,10502,10781,8914,4948,3966
......6281 Baltschieder,1384,713,671,1227,624,603,157,89,68
......6282 Eisten,192,91,101,182,87,95,10,4,6
......6283 Embd,285,147,138,270,140,130,15,7,8
......6285 Grächen,1316,657,659,1127,552,575,189,105,84
......6286 Lalden,760,390,370,634,316,318,126,74,52
......6287 Randa,465,235,230,315,156,159,150,79,71
......6288 Saas-Almagell,385,189,196,311,147,164,74,42,32
......6289 Saas-Balen,341,160,181,295,135,160,46,25,21
......6290 Saas-Fee,1637,844,793,1050,513,537,587,331,256
......6291 Saas-Grund,1057,534,523,874,431,443,183,103,80
......6292 St. Niklaus,2298,1157,1141,1953,974,979,345,183,162
......6293 Stalden (VS),1113,567,546,942,467,475,171,100,71
......6294 Staldenried,561,283,278,529,265,264,32,18,14
......6295 Täsch,1300,672,628,503,244,259,797,428,369
......6296 Törbel,496,244,252,481,238,243,15,6,9
......6297 Visp,8837,4568,4269,5893,2877,3016,2944,1691,1253
......6298 Visperterminen,1318,635,683,1205,569,636,113,66,47
......6299 Zeneggen,355,201,154,277,155,122,78,46,32
......6300 Zermatt,6097,3163,2934,3215,1612,1603,2882,1551,1331
- Neuchâtel,179496,88209,91287,130916,62533,68383,48580,25676,22904
>> Canton de Neuchâtel,179496,88209,91287,130916,62533,68383,48580,25676,22904
......6404 Boudry,6316,3103,3213,4519,2150,2369,1797,953,844
......6408 Cortaillod,4807,2324,2483,3741,1767,1974,1066,557,509
......6413 Rochefort,1354,703,651,1152,586,566,202,117,85
......6416 Milvignes,9308,4502,4806,7485,3549,3936,1823,953,870
......6417 La Grande Béroche,9229,4524,4705,7377,3539,3838,1852,985,867
......6421 La Chaux-de-Fonds,37593,18299,19294,25172,11829,13343,12421,6470,5951
......6422 Les Planchettes,200,98,102,181,86,95,19,12,7
......6423 La Sagne,1075,527,548,948,457,491,127,70,57
......6432 La Brévine,624,337,287,589,317,272,35,20,15
......6433 Brot-Plamboz,297,158,139,279,149,130,18,9,9
......6434 Le Cerneux-Péquignot,310,153,157,299,147,152,11,6,5
......6435 La Chaux-du-Milieu,496,258,238,461,234,227,35,24,11
......6436 Le Locle,10906,5464,5442,7430,3630,3800,3476,1834,1642
......6437 Les Ponts-de-Martel,1231,620,611,1093,538,555,138,82,56
......6451 Cornaux,1681,840,841,1239,603,636,442,237,205
......6452 Cressier (NE),2002,997,1005,1426,672,754,576,325,251
......6453 Enges,283,145,138,247,126,121,36,19,17
......6454 Hauterive (NE),2666,1259,1407,1903,878,1025,763,381,382
......6455 Le Landeron,4652,2281,2371,3710,1767,1943,942,514,428
......6456 Lignières,1061,544,517,922,479,443,139,65,74
......6458 Neuchâtel,45304,22145,23159,30383,14340,16043,14921,7805,7116
......6459 Saint-Blaise,3198,1582,1616,2513,1215,1298,685,367,318
......6461 La Tène,5570,2730,2840,4000,1892,2108,1570,838,732
......6487 Val-de-Ruz,17512,8739,8773,14325,6983,7342,3187,1756,1431
......6504 La Côte-aux-Fées,473,249,224,420,220,200,53,29,24
......6511 Les Verrières,658,331,327,594,296,298,64,35,29
......6512 Val-de-Travers,10690,5297,5393,8508,4084,4424,2182,1213,969
......6513 Laténa,11718,,,,,,,
- Genève,530999,256875,274124,309613,145679,163934,221386,111196,110190
>> Canton de Genève,530999,256875,274124,309613,145679,163934,221386,111196,110190
......6601 Aire-la-Ville,1173,595,578,998,501,497,175,94,81
......6602 Anières,2563,1240,1323,1725,813,912,838,427,411
......6603 Avully,1746,857,889,1371,656,715,375,201,174
......6604 Avusy,1412,688,724,1256,600,656,156,88,68
......6605 Bardonnex,2545,1221,1324,1894,884,1010,651,337,314
......6606 Bellevue,4104,2038,2066,2525,1212,1313,1579,826,753
......6607 Bernex,11111,5451,5660,8497,4059,4438,2614,1392,1222
......6608 Carouge (GE),22488,10687,11801,14169,6532,7637,8319,4155,4164
......6609 Cartigny,1049,525,524,846,424,422,203,101,102
......6610 Céligny,861,419,442,574,277,297,287,142,145
......6611 Chancy,1662,832,830,1292,653,639,370,179,191
......6612 Chêne-Bougeries,14341,6838,7503,9172,4301,4871,5169,2537,2632
......6613 Chêne-Bourg,9574,4601,4973,5612,2613,2999,3962,1988,1974
......6614 Choulex,1232,573,659,966,441,525,266,132,134
......6615 Collex-Bossy,1667,832,835,1137,561,576,530,271,259
......6616 Collonge-Bellerive,8644,4139,4505,6174,2947,3227,2470,1192,1278
......6617 Cologny,6027,2815,3212,3864,1785,2079,2163,1030,1133
......6618 Confignon,4553,2221,2332,3718,1798,1920,835,423,412
......6619 Corsier (GE),2313,1123,1190,1653,781,872,660,342,318
......6620 Dardagny,1828,868,960,1297,603,694,531,265,266
......6621 Genève,208991,100313,108678,104136,48339,55797,104855,51974,52881
......6622 Genthod,2859,1362,1497,1850,875,975,1009,487,522
......6623 Le Grand-Saconnex,13059,6398,6661,7161,3440,3721,5898,2958,2940
......6624 Gy,553,251,302,445,196,249,108,55,53
......6625 Hermance,1246,605,641,881,418,463,365,187,178
......6626 Jussy,1223,591,632,944,453,491,279,138,141
......6627 Laconnex,704,347,357,599,284,315,105,63,42
......6628 Lancy,37258,18015,19243,23711,11134,12577,13547,6881,6666
......6629 Meinier,2068,993,1075,1662,790,872,406,203,203
......6630 Meyrin,27057,13439,13618,14617,7029,7588,12440,6410,6030
......6631 Onex,18916,9036,9880,11944,5500,6444,6972,3536,3436
......6632 Perly-Certoux,3304,1569,1735,2458,1113,1345,846,456,390
......6633 Plan-les-Ouates,12184,5924,6260,9257,4387,4870,2927,1537,1390
......6634 Pregny-Chambésy,4262,2081,2181,2062,1012,1050,2200,1069,1131
......6635 Presinge,708,338,370,564,270,294,144,68,76
......6636 Puplinge,2628,1244,1384,2008,915,1093,620,329,291
......6637 Russin,543,278,265,384,189,195,159,89,70
......6638 Satigny,4711,2403,2308,3315,1647,1668,1396,756,640
......6639 Soral,942,446,496,747,357,390,195,89,106
......6640 Thônex,16809,8090,8719,10473,4914,5559,6336,3176,3160
......6641 Troinex,3145,1565,1580,2451,1183,1268,694,382,312
......6642 Vandoeuvres,3030,1484,1546,2064,1006,1058,966,478,488
......6643 Vernier,37832,18904,18928,20596,9927,10669,17236,8977,8259
......6644 Versoix,13993,6718,7275,7818,3665,4153,6175,3053,3122
......6645 Veyrier,12081,5918,6163,8726,4195,4531,3355,1723,1632
- Jura,74822,37087,37735,62699,30674,32025,12123,6413,5710
>> District de Delémont,39986,19867,20119,32030,15665,16365,7956,4202,3754
......6702 Boécourt,961,474,487,878,433,445,83,41,42
......6703 Bourrignon,263,133,130,253,129,124,10,4,6
......6704 Châtillon (JU),475,245,230,437,224,213,38,21,17
......6706 Courchapoix,449,242,207,419,220,199,30,22,8
......6708 Courrendlin,3686,1854,1832,2848,1393,1455,838,461,377
......6709 Courroux,3441,1688,1753,2861,1400,1461,580,288,292
......6710 Courtételle,2788,1390,1398,2395,1184,1211,393,206,187
......6711 Delémont,12808,6293,6515,8827,4213,4614,3981,2080,1901
......6712 Develier,1393,687,706,1216,591,625,177,96,81
......6713 Ederswiler,115,57,58,110,55,55,5,2,3
......6715 Mervelier,526,264,262,493,252,241,33,12,21
......6716 Mettembert,112,55,57,99,47,52,13,8,5
......6718 Movelier,414,201,213,374,174,200,40,27,13
......6719 Pleigne,365,172,193,351,162,189,14,10,4
......6721 Rossemaison,739,380,359,646,328,318,93,52,41
......6722 Saulcy,277,146,131,266,140,126,11,6,5
......6724 Soyhières,453,218,235,362,169,193,91,49,42
......6729 Haute-Sorne,7451,3738,3713,6136,3028,3108,1315,710,605
......6730 Val Terbi,3270,1630,1640,3059,1523,1536,211,107,104
>> District des Franches-Montagnes,10470,5204,5266,9416,4657,4759,1054,547,507
......6741 Le Bémont (JU),308,157,151,302,153,149,6,4,2
......6742 Les Bois,1244,627,617,1151,575,576,93,52,41
......6743 Les Breuleux,1627,819,808,1419,710,709,208,109,99
......6745 Les Enfers,150,77,73,143,74,69,7,3,4
......6748 Les Genevez (JU),516,259,257,487,245,242,29,14,15
......6750 Lajoux (JU),719,339,380,655,302,353,64,37,27
......6751 Montfaucon,564,297,267,530,276,254,34,21,13
......6753 Muriaux,518,259,259,485,244,241,33,15,18
......6754 Le Noirmont,1933,944,989,1610,780,830,323,164,159
......6757 Saignelégier,2529,1237,1292,2307,1125,1182,222,112,110
......6758 Saint-Brais,237,120,117,214,110,104,23,10,13
......6759 Soubey,125,69,56,113,63,50,12,6,6
>> District de Porrentruy,24366,12016,12350,21253,10352,10901,3113,1664,1449
......6771 Alle,1946,964,982,1700,831,869,246,133,113
......6774 Boncourt,1170,556,614,1038,488,550,132,68,64
......6778 Bure,645,321,324,622,309,313,23,12,11
......6781 Coeuve,717,345,372,696,332,364,21,13,8
......6782 Cornol,1083,537,546,970,481,489,113,56,57
......6783 Courchavon,323,161,162,290,144,146,33,17,16
......6784 Courgenay,2438,1223,1215,2172,1081,1091,266,142,124
......6785 Courtedoux,761,352,409,706,330,376,55,22,33
......6789 Fahy,337,162,175,305,147,158,32,15,17
......6790 Fontenais,1632,800,832,1494,721,773,138,79,59
......6792 Grandfontaine,378,184,194,358,174,184,20,10,10
......6800 Porrentruy,6574,3216,3358,5114,2427,2687,1460,789,671
......6806 Vendlincourt,557,286,271,510,253,257,47,33,14
......6807 Basse-Allaine,1197,585,612,1087,527,560,110,58,52
......6808 Clos du Doubs,1304,661,643,1195,602,593,109,59,50
......6809 Haute-Ajoie,1064,534,530,967,482,485,97,52,45
......6810 La Baroche,1135,582,553,1064,548,516,71,34,37
......6811 Damphreux-Lugnez,370,192,178,333,174,159,37,18,19
......6812 Basse-Vendline,735,355,380,632,301,331,103,54,49
1 Inkl. Staatenlos und ohne Angabe,,,,,,,,,
Quelle: STATPOP,,,,,,,,,
© BFS,,,,,,,,,
Stand am 12.02.2025,,,,,,,,,
,,,,,,,,,
"Auskunft: Bundesamt für Statistik (BFS), Sektion Demografie und Migration, info.dem@bfs.admin.ch, Tel. 058 463 67 11",,,,,,,,,
